addr,size,name,module,status,tier,src
0x0001f1a4,104,strtriml,misc,TODO,,src/proprietary/misc/FUN_0001f1a4_strtriml.c
0x00021ba0,104,EmuCore_list,core,TODO,,src/proprietary/core/FUN_00021ba0_EmuCore_list.c
0x0000a438,100,get_executable_path,misc,TODO,,src/proprietary/misc/FUN_0000a438_get_executable_path.c
0x002c3e98,100,erase_sector,misc,TODO,,src/proprietary/misc/FUN_002c3e98_erase_sector.c
0x002c3f9c,100,sflash_erase_security_data,flash,TODO,,src/proprietary/flash/FUN_002c3f9c_sflash_erase_security_data.c
0x00029ce8,96,InitScr,hw,TODO,,src/proprietary/hw/FUN_00029ce8_InitScr.c
0x002c3e38,96,spi_write,flash,TODO,,src/proprietary/flash/FUN_002c3e38_spi_write.c
0x002dbc34,96,__libc_csu_init,misc,TODO,,src/proprietary/misc/FUN_002dbc34___libc_csu_init.c
0x0000c5fc,92,InitMDJoystick,hw,TODO,,src/proprietary/hw/FUN_0000c5fc_InitMDJoystick.c
0x0000ca48,92,SPI_RR,flash,TODO,,src/proprietary/flash/FUN_0000ca48_SPI_RR.c
0x002b56b8,92,GetFilenameExt,misc,TODO,,src/proprietary/misc/FUN_002b56b8_GetFilenameExt.c
0x002c3f40,92,sflash_write_security_data,flash,TODO,,src/proprietary/flash/FUN_002c3f40_sflash_write_security_data.c
0x0000cca0,88,TxMode,misc,TODO,,src/proprietary/misc/FUN_0000cca0_TxMode.c
0x00014eac,88,mui_extract_basepath,mui,TODO,,src/proprietary/mui/FUN_00014eac_mui_extract_basepath.c
0x002b5714,88,extract_basepath,misc,TODO,,src/proprietary/misc/FUN_002b5714_extract_basepath.c
0x002d992d,86,uc_to_mb_write_replacement,misc,TODO,,
0x002da0c1,86,wc_to_mb_write_replacement,misc,TODO,,
0x0001f150,84,strtrimr,misc,TODO,,src/proprietary/misc/FUN_0001f150_strtrimr.c
0x002b55d0,84,rgb8888_to_rgb565,misc,TODO,,src/proprietary/misc/FUN_002b55d0_rgb8888_to_rgb565.c
0x0000a80c,80,ShareMemClose,flash,TODO,,src/proprietary/flash/FUN_0000a80c_ShareMemClose.c
0x0000cc04,80,SPI_Write,flash,TODO,,src/proprietary/flash/FUN_0000cc04_SPI_Write.c
0x0000d628,80,run_process.constprop.0,misc,TODO,,src/proprietary/misc/FUN_0000d628_run_process.constprop.0.c
0x0000da4c,80,video_driver_set_rotation,hw,TODO,,src/proprietary/hw/FUN_0000da4c_video_driver_set_rotation.c
0x002b4f48,80,joystick_input,input,TODO,,src/proprietary/input/FUN_002b4f48_joystick_input.c
0x002b87f4,80,MP3GetNextFrameInfo,misc,TODO,,src/proprietary/misc/FUN_002b87f4_MP3GetNextFrameInfo.c
0x0000abf8,76,DateToTmuDate,misc,TODO,,src/proprietary/misc/FUN_0000abf8_DateToTmuDate.c
0x0000cc54,76,RxMode,misc,TODO,,src/proprietary/misc/FUN_0000cc54_RxMode.c
0x00016ebc,76,strupr,misc,TODO,,src/proprietary/misc/FUN_00016ebc_strupr.c
0x0000da9c,68,video_driver_set_colormode,hw,TODO,,src/proprietary/hw/FUN_0000da9c_video_driver_set_colormode.c
0x002c3efc,68,spi_read,flash,TODO,,src/proprietary/flash/FUN_002c3efc_spi_read.c
0x002c4000,68,sflash_read_security_data,flash,TODO,,src/proprietary/flash/FUN_002c4000_sflash_read_security_data.c
0x002d441d,68,hz_reset,misc,TODO,,
0x000196ec,64,GetTicks,misc,TODO,,src/proprietary/misc/FUN_000196ec_GetTicks.c
0x002b7a28,64,autorun,misc,TODO,,src/proprietary/misc/FUN_002b7a28_autorun.c
0x000211bc,60,gameType,misc,TODO,,src/proprietary/misc/FUN_000211bc_gameType.c
0x002db79d,58,locale_charset,misc,TODO,,
0x002b8c84,56,Convert_Stereo,misc,TODO,,src/proprietary/misc/FUN_002b8c84_Convert_Stereo.c
0x002c3e00,56,snor_write_en,flash,TODO,,src/proprietary/flash/FUN_002c3e00_snor_write_en.c
0x0000a85c,52,xintiao,misc,TODO,,src/proprietary/misc/FUN_0000a85c_xintiao.c
0x002b4f14,52,log_dummy,core,TODO,,src/proprietary/core/FUN_002b4f14_log_dummy.c
0x002c7e6d,52,normal_flushwc,misc,TODO,,
0x0000b400,48,GetTick,misc,TODO,,src/proprietary/misc/FUN_0000b400_GetTick.c
0x00009ed8,44,RARCH_LOG,misc,TODO,,src/proprietary/misc/FUN_00009ed8_RARCH_LOG.c
0x0000ccf8,44,getticks,misc,TODO,,src/proprietary/misc/FUN_0000ccf8_getticks.c
0x002b8cbc,44,Convert_Mono,misc,TODO,,src/proprietary/misc/FUN_002b8cbc_Convert_Mono.c
0x002c43cc,44,sfc_uninit,flash,TODO,,src/proprietary/flash/FUN_002c43cc_sfc_uninit.c
0x002db2f1,42,compare_by_index,misc,TODO,,
0x0000dae0,40,DeinitDisplay,hw,TODO,,src/proprietary/hw/FUN_0000dae0_DeinitDisplay.c
0x0000dbdc,40,PlaySound,misc,TODO,,src/proprietary/misc/FUN_0000dbdc_PlaySound.c
0x002bdefc,32,ClearBuffer,misc,TODO,,src/proprietary/misc/FUN_002bdefc_ClearBuffer.c
0x0000c8cc,28,SetBacklight,misc,TODO,,src/proprietary/misc/FUN_0000c8cc_SetBacklight.c
0x000171dc,28,GetWorkPath,misc,TODO,,src/proprietary/misc/FUN_000171dc_GetWorkPath.c
0x0000a890,20,XintiaoThread,misc,TODO,,src/proprietary/misc/FUN_0000a890_XintiaoThread.c
0x000223f0,20,ui_GetVolume,misc,TODO,,src/proprietary/misc/FUN_000223f0_ui_GetVolume.c
0x0000c8bc,16,timer_thread,misc,TODO,,src/proprietary/misc/FUN_0000c8bc_timer_thread.c
0x0000dbcc,16,DeinitSound,hw,TODO,,src/proprietary/hw/FUN_0000dbcc_DeinitSound.c
0x0001f20c,16,strtrim,misc,TODO,,src/proprietary/misc/FUN_0001f20c_strtrim.c
0x0002141c,16,mui_ReadJoystick,mui,TODO,,src/proprietary/mui/FUN_0002141c_mui_ReadJoystick.c
0x0000c9d4,12,osDelay,misc,TODO,,src/proprietary/misc/FUN_0000c9d4_osDelay.c
0x0000d508,8,GetDecodeData,misc,TODO,,src/proprietary/misc/FUN_0000d508_GetDecodeData.c
0x0000c844,4,processvblank,misc,TODO,,src/proprietary/misc/FUN_0000c844_processvblank.c
0x0000c8e8,4,InitIOSignal,hw,TODO,,src/proprietary/hw/FUN_0000c8e8_InitIOSignal.c
0x0000c8ec,4,OutputIOSignal,misc,TODO,,src/proprietary/misc/FUN_0000c8ec_OutputIOSignal.c
0x0000d510,4,InitDecode,hw,TODO,,src/proprietary/hw/FUN_0000d510_InitDecode.c
0x0000d514,4,ReInitDecode,misc,TODO,,src/proprietary/misc/FUN_0000d514_ReInitDecode.c
0x00029ce4,4,spi_memcpy,flash,TODO,,src/proprietary/flash/FUN_00029ce4_spi_memcpy.c
0x002b4d60,4,joystick_poll,input,TODO,,src/proprietary/input/FUN_002b4d60_joystick_poll.c
0x002b5a48,4,RetroInitSound,misc,TODO,,src/proprietary/misc/FUN_002b5a48_RetroInitSound.c
0x002b86f0,4,save_state,misc,TODO,,
0x002b86f4,4,load_state,misc,TODO,,
0x002dbc94,4,__libc_csu_fini,misc,TODO,,src/proprietary/misc/FUN_002dbc94___libc_csu_fini.c
